"Stormwater assets, average expected useful life","Stormwater drainage pump stations, average expected useful life ","Stormwater management facilities, stormwater management ponds and stormwater wetlands, average expected useful life ","Stormwater management facilities all other permitted, end-of-pipe facilities, average expected useful life ","Culverts (diameter less than 3 metres), average expected useful life","Open ditches, average expected useful life","Stormwater pipes (diameter: less than 450 mm), average expected useful life","Stormwater pipes (diameter: greater than or equal to 450 mm to less than 1,500 mm), average expected useful life","Stormwater pipes (diameter: greater than or equal to 1,500 mm), average expected useful life","Stormwater pipes (of unknown diameter), average expected useful life"
Canada,35,62,55,37,32,70,70,70,56
Newfoundland and Labrador ,40,40,30,35,27,60,44,..,..
Prince Edward Island ,..,50,..,20,15,61,..,..,70
Nova Scotia ,..,50,..,54,42,67,55,..,50
New Brunswick ,..,65,..,60,53,160,68,..,45
Quebec ,25,63,53,36,28,63,69,75,53
Ontario,..,74,63,47,47,75,74,74,79
Manitoba,35,50,..,30,36,58,72,..,..
Saskatchewan,55,..,30,32,42,88,55,40,..
Alberta,48,45,..,34,43,72,73,87,75
British Columbia,45,63,59,57,72,80,83,..,30
Yukon,..,..,..,..,25,..,..,..,..
Northwest Territories,..,..,..,20,..,..,..,..,..
Nunavut,..,..,..,..,..,..,..,..,..
